R,G,B,R,G,B
65,105,225,255,215,0
65,105,225,255,165,0
65,105,225,255,140,0
25,25,112,255,255,0
25,25,112,255,215,0
25,25,112,255,165,0
25,25,112,255,140,0
0,0,128,255,255,0
0,0,128,255,215,0
0,0,128,255,165,0
0,0,128,255,140,0
0,0,139,255,255,0
0,0,139,255,215,0
0,0,139,255,165,0
0,0,139,255,140,0
0,0,205,255,255,0
0,0,205,255,215,0
0,0,205,255,165,0
0,0,205,255,140,0
0,0,255,255,255,0
0,0,255,255,215,0
0,0,255,255,165,0
0,0,255,255,140,0
30,144,255,255,255,0
30,144,255,255,215,0
30,144,255,255,165,0
30,144,255,255,140,0
100,149,237,255,255,0
100,149,237,255,215,0
100,149,237,255,165,0
100,149,237,255,140,0
255,255,0,169,169,169
255,255,0,105,105,105
255,255,0,192,192,192
255,215,0,169,169,169
255,215,0,105,105,105
255,215,0,192,192,192
255,165,0,169,169,169
255,165,0,105,105,105
255,165,0,192,192,192
255,140,0,169,169,169
255,140,0,105,105,105
255,140,0,192,192,192
255,255,0,0,0,0
255,255,0,105,105,105
255,215,0,0,0,0
255,215,0,105,105,105
255,165,0,0,0,0
255,165,0,105,105,105
255,140,0,0,0,0
255,140,0,105,105,105
255,255,0,60,179,113
255,255,0,102,205,170
255,255,0,0,100,0
255,255,0,0,128,0
255,255,0,154,205,50
255,255,0,85,107,47
255,255,0,107,142,35
255,255,0,128,128,0
255,215,0,60,179,113
255,215,0,102,205,170
255,215,0,0,100,0
255,215,0,0,128,0
255,215,0,154,205,50
255,215,0,85,107,47
255,215,0,107,142,35
255,215,0,128,128,0
255,165,0,60,179,113
255,165,0,102,205,170
255,165,0,0,100,0
255,165,0,0,128,0
255,165,0,154,205,50
255,165,0,85,107,47
255,165,0,107,142,35
255,165,0,128,128,0
255,140,0,60,179,113
255,140,0,102,205,170
255,140,0,0,100,0
255,140,0,0,128,0
255,140,0,154,205,50
255,140,0,85,107,47
255,140,0,107,142,35
255,140,0,128,128,0
255,255,0,205,133,63
255,255,0,184,134,11
255,255,0,160,82,45
255,255,0,139,69,19
255,255,0,128,0,0
255,255,0,128,0,0
255,215,0,205,133,63
255,215,0,184,134,11
255,215,0,160,82,45
255,215,0,139,69,19
255,215,0,128,0,0
255,215,0,128,0,0
255,165,0,205,133,63
255,165,0,184,134,11
255,165,0,160,82,45
255,165,0,139,69,19
255,165,0,128,0,0
